x_mm,y_mm
-10.278329,-10.278329
-10.068307,-10.332422
-9.858284,-10.386514
-9.644179,-10.416539
-9.428047,-10.434491
-9.211450,-10.444263
-8.994627,-10.448959
-8.777766,-10.451391
-8.560893,-10.451086
-8.344018,-10.450159
-8.127159,-10.447551
-7.910302,-10.444650
-7.693453,-10.441204
-7.476610,-10.437382
-7.259770,-10.433400
-7.042938,-10.429017
-6.826106,-10.424587
-6.609285,-10.419682
-6.392468,-10.414629
-6.175664,-10.409010
-5.958876,-10.402817
-5.742110,-10.395981
-5.525413,-10.387154
-5.308770,-10.377250
-5.092334,-10.363478
-4.876111,-10.346786
-4.660576,-10.323266
-4.446008,-10.291712
-4.231298,-10.261230
-4.017173,-10.231570
-3.844476,-10.100378
-3.671779,-9.969187
-3.634736,-9.758673
-3.636092,-9.543308
-3.655995,-9.327356
-3.669521,-9.110932
-3.680426,-8.894330
-3.684819,-8.677541
-3.686177,-8.460669
-3.684798,-8.243803
-3.680590,-8.026969
-3.675358,-7.810156
-3.668009,-7.593406
-3.660304,-7.376667
-3.651920,-7.159952
-3.643332,-6.943246
-3.634851,-6.726535
-3.626515,-6.509819
-3.618286,-6.293099
-3.610770,-6.076353
-3.603634,-5.859597
-3.601388,-5.642741
-3.605359,-5.425901
-3.609874,-5.209072
-3.615185,-4.992261
-3.620796,-4.775457
-3.627251,-4.558677
-3.633989,-4.341905
-3.641363,-4.125154
-3.649186,-3.908419
-3.657597,-3.691707
-3.667019,-3.475035
-3.674967,-3.258310
-3.736392,-3.217116
-3.530968,-3.168418
-3.315934,-3.140213
-3.100360,-3.116539
-2.884607,-3.094497
-2.668498,-3.076295
-2.452124,-3.061561
-2.235650,-3.048367
-2.018959,-3.039403
-1.802244,-3.031053
-1.585444,-3.025279
-1.368621,-3.020479
-1.151778,-3.016710
-0.934917,-3.014103
-0.718053,-3.011860
-0.501179,-3.010719
-0.284305,-3.009795
-0.067429,-3.009473
0.149448,-3.009540
0.366323,-3.010047
0.583197,-3.011131
0.800067,-3.012678
1.016931,-3.015059
1.233786,-3.018064
1.450622,-3.022203
1.667440,-3.027236
1.884203,-3.034079
2.100907,-3.042707
2.317511,-3.053450
2.533965,-3.066948
2.750264,-3.082717
2.966212,-3.102614
3.181937,-3.124927
3.397258,-3.150766
3.612269,-3.179138
3.776078,-3.246825
3.672211,-3.356728
3.662956,-3.573406
3.653846,-3.790091
3.645777,-4.006817
3.638096,-4.223557
3.630967,-4.440316
3.624373,-4.657092
3.618248,-4.873882
3.612825,-5.090690
3.607822,-5.307509
3.603506,-5.524342
3.602063,-5.741201
3.606555,-5.958006
3.613963,-6.174756
3.621745,-6.391493
3.629878,-6.608216
3.638148,-6.824935
3.646527,-7.041650
3.654988,-7.258361
3.662675,-7.475101
3.670143,-7.691849
3.676082,-7.908643
3.680648,-8.125471
3.683817,-8.342323
3.682536,-8.559191
3.680708,-8.776059
3.671217,-8.992719
3.659824,-9.209296
3.643044,-9.425521
3.621264,-9.641224
3.628167,-9.857990
3.755940,-10.025439
3.902653,-10.185160
4.102206,-10.219905
4.314983,-10.235727
4.518224,-10.308327
4.733155,-10.337109
4.949036,-10.357623
5.165422,-10.372206
5.381932,-10.384566
5.598641,-10.393096
5.815374,-10.400944
6.032156,-10.407306
6.248956,-10.413077
6.465769,-10.418316
6.682592,-10.423137
6.899420,-10.427705
7.116254,-10.431984
7.333092,-10.436089
7.549934,-10.439930
7.766780,-10.443572
7.983634,-10.446681
8.200492,-10.449488
8.417360,-10.451253
8.634235,-10.452191
8.851109,-10.451619
9.067956,-10.448288
9.284793,-10.444165
9.501076,-10.429094
9.717197,-10.411006
9.930720,-10.373890
10.143780,-10.333379
10.280714,-10.174765
10.405596,-9.997452
