x_mm,y_mm
0.000000,10.805458
-0.126710,10.804173
-0.253407,10.801992
-0.380043,10.797524
-0.506612,10.791454
-0.633107,10.783990
-0.759486,10.774786
-0.885758,10.764203
-1.011789,10.751125
-1.137639,10.736346
-1.263303,10.720074
-1.388754,10.702227
-1.513872,10.682220
-1.638572,10.659738
-1.762974,10.635635
-1.887106,10.610199
-2.010749,10.582482
-2.133788,10.552221
-2.256073,10.519013
-2.377962,10.484370
-2.499564,10.448743
-2.620627,10.411317
-2.741433,10.373073
-2.861480,10.332505
-2.981103,10.290704
-3.100175,10.247361
-3.218546,10.202137
-3.336090,10.154809
-3.452790,10.105438
-3.569172,10.055317
-3.684730,10.003333
-3.799016,9.948620
-3.911806,9.890888
-4.023626,9.831284
-4.135065,9.770965
-4.245879,9.709514
-4.356185,9.647146
-4.465674,9.583371
-4.574203,9.517964
-4.681993,9.451347
-4.788962,9.383422
-4.894800,9.313753
-4.999212,9.241966
-5.102712,9.168859
-5.205825,9.095211
-5.308131,9.020443
-5.409946,8.945007
-5.510894,8.868422
-5.610622,8.790249
-5.709497,8.711003
-5.807432,8.630593
-5.904713,8.549403
-6.000089,8.465984
-6.093912,8.380812
-6.187425,8.295300
-6.280492,8.209303
-6.372977,8.122687
-6.464136,8.034670
-6.555191,7.946548
-6.645139,7.857293
-6.734318,7.767273
-6.822488,7.676264
-6.909476,7.584126
-6.994758,7.490411
-7.077956,7.394836
-7.159390,7.297763
-7.238201,7.198543
-7.314839,7.097637
-7.388974,6.994879
-7.461540,6.891002
-7.535076,6.787808
-7.607494,6.683824
-7.678687,6.579004
-7.748034,6.472949
-7.816090,6.366062
-7.882925,6.258406
-7.950903,6.151507
-8.022804,6.047168
-8.094870,5.942944
-8.164882,5.837336
-8.232892,5.730419
-8.299189,5.622438
-8.363366,5.513181
-8.425584,5.402796
-8.489780,5.293586
-8.556254,5.185706
-8.621639,5.077166
-8.685576,4.967765
-8.747472,4.857202
-8.807617,4.745671
-8.865997,4.633208
-8.922522,4.519800
-8.977354,4.405564
-9.031488,4.290994
-9.085353,4.176296
-9.137281,4.060710
-9.188107,3.944634
-9.237320,3.827866
-9.285056,3.710485
-9.331516,3.592594
-9.376172,3.474007
-9.419789,3.355037
-9.461218,3.235285
-9.501470,3.115134
-9.540007,2.994421
-9.577170,2.873278
-9.612900,2.751707
-9.646974,2.629659
-9.679652,2.507234
-9.710421,2.384311
-9.739884,2.261071
-9.767679,2.137443
-9.794061,2.013505
-9.818797,1.889230
-9.842095,1.764675
-9.863618,1.639806
-9.883508,1.514661
-9.901886,1.389288
-9.918650,1.263688
-9.934000,1.137906
-9.947561,1.011921
-9.959904,0.885808
-9.970081,0.759505
-9.978953,0.633100
-9.986088,0.506587
-9.991702,0.379996
-9.995889,0.253349
-9.998182,0.126655
-9.999475,-0.000055
-9.998180,-0.126764
-9.995885,-0.253459
-9.991698,-0.380105
-9.986082,-0.506696
-9.978945,-0.633209
-9.970073,-0.759614
-9.959894,-0.885917
-9.947550,-1.012029
-9.933987,-1.138015
-9.918636,-1.263796
-9.901871,-1.389397
-9.883491,-1.514770
-9.863600,-1.639914
-9.842075,-1.764783
-9.818777,-1.889338
