x_mm,y_mm
-10.356932,-10.236389
-10.358931,-10.299318
-10.193669,-10.305279
-10.028393,-10.306961
-9.863088,-10.303443
-9.697741,-10.306215
-9.534118,-10.327694
-9.378640,-10.378571
-9.214405,-10.397631
-9.049355,-10.405305
-8.883990,-10.406443
-8.718626,-10.405623
-8.553335,-10.401001
-8.388081,-10.394797
-8.222840,-10.388262
-8.057665,-10.380305
-7.892511,-10.371838
-7.727267,-10.365643
-7.561944,-10.361762
-7.396602,-10.358735
-7.231256,-10.358812
-7.065943,-10.362939
-6.900671,-10.368633
-6.735445,-10.375450
-6.570271,-10.383502
-6.405087,-10.391354
-6.239852,-10.397894
-6.074542,-10.402322
-5.909209,-10.405858
-5.743862,-10.407938
-5.578496,-10.406838
-5.413137,-10.404970
-5.247802,-10.401982
-5.082554,-10.395616
-4.917324,-10.388828
-4.752124,-10.381441
-4.587106,-10.370657
-4.422107,-10.359595
-4.257125,-10.348326
-4.092409,-10.333624
-3.927701,-10.318846
-3.762991,-10.304097
-3.598599,-10.286137
-3.434185,-10.268375
-3.269764,-10.250684
-3.105407,-10.232411
-2.941008,-10.214513
-2.776600,-10.196706
-2.611583,-10.186179
-2.446478,-10.176818
-2.281367,-10.167577
-2.116056,-10.163887
-1.950704,-10.161412
-1.785350,-10.159108
-1.619989,-10.157446
-1.454624,-10.156088
-1.289258,-10.154907
-1.123891,-10.153870
-0.958524,-10.152997
-0.793155,-10.152289
-0.627786,-10.151723
-0.462416,-10.151302
-0.297047,-10.151043
-0.131677,-10.150930
0.033694,-10.150949
0.199063,-10.151135
0.364433,-10.151476
0.529803,-10.151927
0.695171,-10.152561
0.860540,-10.153380
1.025907,-10.154299
1.191273,-10.155390
1.356638,-10.156686
1.522003,-10.158094
1.687365,-10.159725
1.852721,-10.161840
2.018071,-10.164396
2.183407,-10.167656
2.348648,-10.173742
2.513744,-10.183262
2.678792,-10.193507
2.843576,-10.207169
3.007948,-10.225314
3.172311,-10.243536
3.336649,-10.261980
3.501030,-10.280036
3.665418,-10.298030
3.829898,-10.315150
3.994586,-10.330155
4.159267,-10.345229
4.324053,-10.359096
4.489037,-10.370394
4.654014,-10.381794
4.819075,-10.391881
4.984287,-10.399109
5.149506,-10.406175
5.314777,-10.411907
5.480123,-10.414670
5.645480,-10.416770
5.810848,-10.416963
5.976195,-10.414356
6.141530,-10.410921
6.306821,-10.405853
6.472039,-10.398816
6.637218,-10.390865
6.802414,-10.383292
6.967666,-10.377085
7.132941,-10.371476
7.298278,-10.368978
7.463632,-10.370392
7.628976,-10.373355
7.794276,-10.377980
7.959488,-10.385110
8.124658,-10.393246
8.289879,-10.400171
8.455141,-10.406155
8.620426,-10.411409
8.785764,-10.412920
8.951127,-10.411431
9.116448,-10.407787
9.280400,-10.389300
9.443480,-10.361878
9.580495,-10.287447
9.744839,-10.279290
9.909457,-10.295048
10.074613,-10.300398
10.239912,-10.297066
10.397259,-10.255120
10.301486,-10.214380
10.362057,-10.147473
10.401718,-9.986929
10.438732,-9.825770
10.519546,-9.743073
10.604922,-9.626455
10.572229,-9.464348
10.538962,-9.302359
10.502044,-9.141163
10.461675,-8.980798
10.419568,-8.820880
10.379364,-8.660473
10.338869,-8.500138
10.293073,-8.341260
10.252331,-8.181038
10.222656,-8.018460
10.191716,-7.856053
10.160689,-7.693632
10.138390,-7.529877
10.118636,-7.365700
10.098491,-7.201565
10.084581,-7.036852
10.074854,-6.871769
10.065224,-6.706679
10.057342,-6.541504
10.051044,-6.376254
10.045027,-6.210994
10.040279,-6.045696
10.036858,-5.880361
10.033632,-5.715023
10.031001,-5.549674
10.029033,-5.384316
10.027171,-5.218956
10.025560,-5.053594
10.024077,-4.888231
10.022698,-4.722866
10.021529,-4.557501
10.020432,-4.392134
10.019422,-4.226767
10.018580,-4.061399
10.017786,-3.896031
10.017052,-3.730663
10.016447,-3.565294
10.015881,-3.399924
10.015351,-3.234555
10.014922,-3.069186
10.014517,-2.903816
10.014135,-2.738446
10.013832,-2.573077
10.013539,-2.407707
10.013262,-2.242337
10.013046,-2.076967
10.012836,-1.911597
10.012635,-1.746227
10.012486,-1.580857
10.012340,-1.415487
10.012203,-1.250117
10.012106,-1.084747
10.012014,-0.919377
10.011929,-0.754007
10.011878,-0.588637
10.011834,-0.423267
10.011796,-0.257897
10.011787,-0.092526
10.011786,0.072844
10.011792,0.238214
10.011825,0.403584
10.011868,0.568954
10.011917,0.734324
10.011995,0.899694
10.012085,1.065064
10.012182,1.230434
10.012310,1.395804
10.012453,1.561174
10.012604,1.726544
10.012791,1.891914
10.012999,2.057284
10.013217,2.222654
10.013477,2.388024
10.013768,2.553394
10.014078,2.718764
10.014444,2.884133
10.014852,3.049503
10.015291,3.214872
10.015806,3.380242
10.016381,3.545611
