x_mm,y_mm
-0.000000,12.094147
-0.132860,12.092716
-0.265707,12.090388
-0.398411,12.083908
-0.530997,12.075288
-0.663471,12.065077
-0.795777,12.052899
-0.927771,12.037755
-1.059336,12.019261
-1.190624,11.998849
-1.321513,11.976054
-1.451714,11.949647
-1.581183,11.919828
-1.710165,11.887942
-1.838511,11.853634
-1.965646,11.815107
-2.091141,11.771557
-2.215468,11.724691
-2.339894,11.678091
-2.463655,11.629790
-2.585493,11.576798
-2.706238,11.521352
-2.827288,11.466580
-2.947290,11.409541
-3.067404,11.352742
-3.186913,11.294683
-3.304071,11.232011
-3.421379,11.169620
-3.538842,11.107520
-3.655445,11.043823
-3.766896,10.971549
-3.874205,10.893231
-3.984242,10.818789
-4.096865,10.748311
-4.208269,10.675917
-4.314136,10.595771
-4.413442,10.507608
-4.510171,10.416521
-4.606150,10.324642
-4.701500,10.232111
-4.794481,10.137218
-4.880316,10.035941
-4.964363,9.933036
-5.052409,9.833587
-5.143035,9.736427
-5.229444,9.635584
-5.305498,9.526861
-5.380138,9.416962
-5.454694,9.306992
-5.530492,9.197884
-5.609700,9.091227
-5.693223,8.987934
-5.779160,8.886602
-5.863255,8.783752
-5.949418,8.682640
-6.036218,8.582045
-6.114691,8.474927
-6.200536,8.373633
-6.291027,8.276358
-6.380801,8.178409
-6.466131,8.076579
-6.549494,7.973118
-6.631356,7.868465
-6.722100,7.771431
-6.816819,7.678253
-6.910712,7.584243
-7.004104,7.489751
-7.094171,7.392073
-7.182272,7.292627
-7.267120,7.190404
-7.350459,7.086941
-7.432680,6.982704
-7.509443,6.874254
-7.587051,6.766415
-7.665893,6.659468
-7.743811,6.551853
-7.818840,6.442222
-7.887358,6.328534
-7.946112,6.209461
-8.004407,6.090247
-8.074042,5.977245
-8.150270,5.868421
-8.225845,5.759155
-8.299205,5.648378
-8.371129,5.536666
-8.435235,5.420592
-8.490491,5.299763
-8.550957,5.181670
-8.618843,5.067458
-8.686897,4.953345
-8.753321,4.838277
-8.817861,4.722142
-8.880217,4.604824
-8.940229,4.486288
-8.996673,4.366030
-9.051364,4.244941
-9.106150,4.123894
-9.160047,4.002451
-9.212711,3.880468
-9.263433,3.757669
-9.312913,3.634359
-9.360372,3.510264
-9.406383,3.385618
-9.450873,3.260423
-9.493395,3.134547
-9.534417,3.008172
-9.573337,2.881138
-9.611144,2.753763
-9.646739,2.625758
-9.681026,2.497391
-9.713379,2.368526
-9.743998,2.239237
-9.773136,2.109605
-9.800168,1.979519
-9.826165,1.849220
-9.849559,1.718433
-9.871839,1.587447
-9.891900,1.456105
-9.910374,1.324529
-9.927332,1.192749
-9.942077,1.060704
-9.955899,0.928557
-9.966909,0.796149
-9.976876,0.663656
-9.984648,0.531017
-9.990835,0.398294
-9.995487,0.265508
-9.997922,0.132663
-9.999407,-0.000196
-9.997916,-0.133055
-9.995474,-0.265900
-9.990818,-0.398686
-9.984626,-0.531409
-9.976848,-0.664047
-9.966876,-0.796540
-9.955860,-0.928948
-9.942034,-1.061094
-9.927283,-1.193138
-9.910321,-1.324918
-9.891841,-1.456493
-9.871775,-1.587834
-9.849490,-1.718819
-9.826088,-1.849604
-9.800088,-1.979903
-9.773050,-2.109987
-9.743907,-2.239618
-9.713284,-2.368907
-9.680925,-2.497770
-9.646634,-2.626136
-9.611032,-2.754139
-9.573221,-2.881513
-9.534296,-3.008546
-9.493269,-3.134919
-9.450742,-3.260794
-9.406247,-3.385986
-9.360232,-3.510631
-9.312765,-3.634722
-9.263281,-3.758031
-9.212554,-3.880828
-9.159886,-4.002809
-9.105985,-4.124251
-9.051203,-4.245299
-8.996518,-4.366391
-8.940071,-4.486647
-8.880056,-4.605182
-8.817697,-4.722499
-8.753155,-4.838632
-8.686727,-4.953698
-8.618671,-5.067810
-8.550784,-5.182021
