x_mm,y_mm
-10.192487,-10.074324
-9.725252,-9.975485
-8.975394,-10.072088
-8.219819,-10.101600
-7.465048,-10.045413
-6.711535,-9.981880
-5.962975,-10.092393
-5.218607,-10.224440
-4.462527,-10.204212
-3.706741,-10.211117
-2.951629,-10.264175
-2.197401,-10.329634
-1.442922,-10.391713
-0.686875,-10.431047
0.069935,-10.450786
0.827005,-10.451692
1.583584,-10.425460
2.338368,-10.366795
3.049784,-10.568674
3.569882,-10.869202
3.881357,-10.208249
4.025173,-9.468684
4.441899,-9.321211
4.828801,-9.921087
4.801374,-10.677682
4.773947,-11.434277
4.321764,-11.900787
3.627014,-12.201638
2.932265,-12.502489
2.254294,-12.696208
1.684793,-12.197352
1.115293,-11.698496
1.282273,-11.922250
2.023512,-12.076370
2.764751,-12.230489
3.505990,-12.384609
4.247229,-12.538728
4.945533,-12.593497
5.341229,-11.948041
5.736925,-11.302586
6.064964,-11.078298
6.263560,-11.535851
6.565109,-10.841404
7.061513,-11.011804
7.122467,-10.710907
7.042018,-9.958101
6.884829,-9.223971
6.441416,-8.659261
5.796642,-8.262456
5.072438,-8.145488
4.905799,-7.969720
4.570298,-8.260694
3.980888,-8.735861
3.401890,-9.215972
3.406205,-9.973051
3.410521,-10.730131
3.825149,-10.437941
4.341893,-9.884620
4.858636,-9.331299
5.375380,-8.777978
5.892123,-8.224657
6.408867,-7.671335
6.818967,-7.957205
7.180891,-8.622186
7.542814,-9.287167
7.904737,-9.952148
8.266660,-10.617129
8.481670,-10.949060
8.234582,-10.233424
7.987493,-9.517788
7.740404,-8.802151
7.493315,-8.086515
7.247214,-7.637382
7.005434,-8.354829
6.763654,-9.072276
6.521874,-9.789724
6.280094,-10.507171
6.038314,-11.224618
5.796534,-11.942066
5.992272,-12.280939
6.737017,-12.144767
7.294321,-11.698514
7.761021,-11.102377
8.227721,-10.506240
8.021576,-10.249123
7.664707,-9.581416
7.307839,-8.913708
6.950971,-8.246001
6.746739,-7.763755
7.333330,-8.242397
7.919922,-8.721040
8.366237,-9.255658
8.270321,-10.006650
8.174405,-10.757641
8.126538,-11.479978
8.170491,-11.956847
7.436751,-12.143435
6.871787,-12.001097
6.595457,-11.296235
6.319127,-10.591374
6.042798,-9.886512
5.766468,-9.181650
5.904093,-9.126411
6.426253,-9.674625
6.948412,-10.222838
7.470572,-10.771051
7.992731,-11.319264
8.514891,-11.867477
8.116865,-11.769824
7.566887,-11.249532
7.725917,-10.530967
7.926451,-9.800916
8.126986,-9.070866
7.807406,-8.762724
7.051691,-8.808367
6.295976,-8.854010
5.724437,-9.065809
5.739555,-9.810806
6.031740,-10.509245
6.323925,-11.207683
6.946997,-11.413337
7.704064,-11.419436
8.441421,-11.284037
8.473944,-10.563022
8.457446,-9.806110
8.060883,-9.323422
7.533454,-9.044287
7.787176,-8.825623
7.278605,-9.226594
7.517863,-9.944887
7.757121,-10.663179
8.213975,-10.934183
8.794949,-10.467094
8.703775,-9.723096
8.596615,-8.973626
8.056826,-8.882896
7.461680,-9.218832
7.424511,-9.964048
7.555338,-10.709751
8.267885,-10.504481
8.954776,-10.213758
9.455731,-9.753417
8.779782,-9.515192
8.482143,-10.210046
9.029020,-9.965511
9.200672,-10.084214
9.016845,-10.247333
9.230669,-10.119154
9.602218,-9.789417
10.105025,-10.343256
10.175748,-10.046762
10.310610,-10.054938
10.195173,-9.487746
10.306511,-9.548169
10.412091,-9.559949
9.939030,-9.131089
10.303036,-8.636669
10.723581,-8.939179
10.344288,-8.698049
10.421767,-8.219452
10.636307,-8.745068
10.084302,-8.805778
9.655699,-8.181689
10.270520,-7.760573
9.954990,-7.735128
10.406100,-8.343148
10.805076,-8.136870
10.775299,-7.925811
10.309982,-7.750190
10.202513,-7.031579
10.119289,-6.279723
10.052279,-5.525775
10.021516,-4.769351
10.010548,-4.012347
10.006472,-3.255267
10.005250,-2.498176
10.004390,-1.741085
10.003913,-0.983993
10.003793,-0.226901
10.004156,0.530190
10.005057,1.287282
10.007207,2.044371
10.011978,2.801446
10.022401,3.558462
10.046503,4.315119
10.112676,5.069202
10.177854,5.819998
10.357489,6.434905
10.723659,6.809265
10.166723,7.182353
9.410812,7.140097
9.472123,7.005788
10.199693,6.796431
10.927262,6.587073
11.654832,6.377716
12.054858,5.893084
12.050006,5.230511
11.302139,5.348337
10.554272,5.466164
9.806405,5.583990
9.058538,5.701817
8.313153,5.816860
8.479574,5.562531
8.885533,6.201582
9.291491,6.840633
9.697450,7.479683
10.103409,8.118734
10.179890,7.492858
10.222506,6.736967
10.265123,5.981075
10.307739,5.225183
10.350355,4.469292
10.793517,4.665651
11.468983,4.903547
11.007537,5.503760
10.546091,6.103973
10.084644,6.704186
9.623198,7.304399
9.180157,7.661701
8.814413,6.998813
8.821807,6.326343
9.153041,5.645554
9.735865,5.379937
10.492653,5.401392
10.842434,5.542835
11.183151,6.218927
11.015366,6.851638
10.565049,7.460245
10.114733,8.068852
9.526106,8.072357
9.044008,7.520563
9.047717,6.778313
9.104718,6.023369
9.561959,5.625186
10.293371,5.532326
10.891068,5.997027
11.077386,6.612196
10.920574,7.352870
10.639911,8.045912
10.707542,8.231012
11.167667,7.950698
10.721292,7.619420
10.974179,7.094209
10.836980,7.838765
10.236827,7.458780
9.756476,7.021509
9.485403,7.298416
9.236145,7.917522
9.815296,7.485209
10.201594,7.722623
10.206860,8.476713
10.398110,8.663466
10.055566,8.300246
10.167217,8.472465
9.922843,9.159628
10.111828,9.435544
10.282244,9.884218
9.547988,10.057190
8.792794,10.082706
8.038781,10.017230
7.284382,9.954663
6.531067,10.005973
5.790904,10.158749
5.057031,10.300451
4.307974,10.194840
3.553205,10.197484
2.798844,10.260607
2.047734,10.353126
1.296340,10.445317
0.542274,10.512456
-0.213443,10.557579
-0.970076,10.582146
-1.727055,10.582942
-2.483880,10.564433
-3.111881,10.908927
-3.582543,11.203853
-3.956920,10.561723
-4.122719,9.823197
-4.431510,9.590933
-4.762879,10.210298
-4.835307,10.963918
-4.827223,11.683731
-4.238490,12.159737
-3.649757,12.635743
-3.061024,13.111749
-2.417197,13.159218
-1.727206,12.847608
-1.037215,12.535998
-0.347224,12.224388
0.050703,11.628427
0.219960,11.198412
-0.121378,11.874191
-0.462716,12.549969
-0.959181,12.956507
-1.715015,12.912881
-2.470849,12.869255
-3.226683,12.825629
-3.982517,12.782003
-4.738351,12.738377
-5.475162,12.648016
-6.068933,12.298386
-6.294061,11.759714
-6.402292,11.010398
-6.643266,10.832316
-7.049730,11.470044
-7.065983,11.225781
-6.894452,10.488376
-6.722922,9.750971
-6.408303,9.068411
-5.924211,8.486309
-5.394866,8.014039
-4.641219,8.086173
-4.240504,8.147290
-3.661933,8.635596
-3.464986,9.345600
-3.327394,10.090084
-3.867649,9.583537
-4.416181,9.061713
-4.964714,8.539888
-5.513246,8.018064
-5.977261,8.069099
-6.351727,8.727099
-6.726193,9.385099
-7.100659,10.043098
-7.475125,10.701098
-7.849591,11.359098
-8.210581,11.165466
-8.564042,10.495948
-8.917503,9.826431
-8.303674,9.946895
-7.577042,10.159485
-6.850410,10.372074
-6.123778,10.584664
-5.397146,10.797254
-4.670514,11.009843
-4.943093,11.299973
-5.628229,11.622117
-6.313364,11.944262
-6.716148,11.684628
-6.748213,10.940719
-6.645363,10.190646
-6.542513,9.440573
-6.439663,8.690499
-6.336813,7.940426
-6.453700,7.948216
-6.768029,8.636972
-7.082358,9.325729
-7.396687,10.014485
-7.711017,10.703242
-8.065308,11.364350
-8.094282,11.540945
-7.379877,11.791571
-6.672436,12.013910
-6.156006,11.460297
-5.639576,10.906683
-5.123146,10.353069
-5.045799,10.076877
-5.247960,10.806466
-5.941606,10.788247
-6.691628,10.685021
-7.441649,10.581795
-8.191671,10.478569
-8.941693,10.375343
-9.459839,10.262117
-8.721488,10.094709
-7.983137,9.927300
-7.244786,9.759891
-6.506435,9.592482
-5.973451,9.353570
-6.516338,8.832928
-7.086152,8.672136
-7.836562,8.751119
-8.458187,9.183289
-8.925813,9.700460
-8.960184,10.456772
-8.990056,11.210582
-8.336583,11.430667
-7.759151,10.949948
-7.297815,10.357357
-7.338637,9.625181
-7.727961,9.342246
-7.033517,9.643801
-6.706347,9.590825
-6.888615,9.687681
-7.642522,9.757055
-7.718933,10.212775
-7.203241,10.109157
-7.632523,10.511700
-8.320400,10.501008
-9.058825,10.583282
-9.311313,10.027812
-9.378540,9.878194
-9.802550,10.338821
-9.057412,10.472830
-8.622954,10.773891
-9.252803,10.990595
-10.009149,11.024172
-9.295782,11.270691
-9.671516,10.922514
-9.118706,10.443379
-9.418659,10.116610
-10.113138,10.389556
-9.984488,10.339695
-10.101786,9.612371
-10.360846,8.933010
-10.537694,8.992942
-10.402309,8.847930
-10.324099,8.959211
-10.056923,8.447483
-10.092575,8.387310
-10.587828,8.287719
-10.259207,7.702925
-10.145186,6.954560
-10.070898,6.201200
-10.036687,5.444979
-10.025217,4.687981
-10.017619,3.930929
-10.013168,3.173851
-10.011119,2.416761
-10.009859,1.659671
-10.008932,0.902579
-10.008360,0.145488
-10.008369,-0.611604
-10.009160,-1.368696
-10.011585,-2.125783
-10.017713,-2.882844
-10.030757,-3.639822
-10.065300,-4.395966
-10.143858,-5.147751
-10.240035,-5.895063
-10.674145,-6.403694
-10.248415,-6.774015
-11.005467,-6.781854
-10.681727,-6.983557
-9.974597,-7.254030
-9.618633,-7.194805
-10.002042,-6.541975
-10.385451,-5.889146
-10.768859,-5.236317
-11.152268,-4.583488
-11.535677,-3.930659
-12.001385,-4.077898
-11.492034,-4.354492
-10.766451,-4.570633
-10.040867,-4.786773
-9.315283,-5.002913
-8.589700,-5.219053
-8.276654,-5.062506
-8.565143,-4.362533
-9.177719,-3.969107
-9.450226,-3.832455
-8.759527,-4.142492
-9.377731,-4.215700
-10.133277,-4.264058
-10.888823,-4.312416
-10.810008,-4.276927
-10.110067,-4.450789
-9.414061,-4.748721
-8.919942,-5.205341
-9.224167,-5.770838
-9.846411,-6.202115
-10.468656,-6.633391
-11.090901,-7.064668
-11.713146,-7.495944
-11.190853,-7.593879
-10.434345,-7.623600
-9.677836,-7.653320
-9.133579,-7.272839
-8.724538,-6.637709
-8.983609,-5.926323
-9.036419,-5.546304
-9.789045,-5.464191
-10.541671,-5.382078
-10.957727,-5.805568
-11.172393,-6.531589
-11.387060,-7.257610
-11.102807,-7.446939
-10.449102,-7.462038
-9.728756,-7.695042
-9.230771,-7.427810
-8.921094,-6.736949
-8.733715,-6.074051
-9.349699,-5.678273
-10.105281,-5.630495
-10.759307,-5.798025
-11.202995,-6.411481
-11.051769,-7.086749
-10.733663,-7.766213
-9.996571,-7.939082
-9.720042,-7.997620
-9.452067,-7.289540
-9.566458,-7.136997
-10.132158,-7.640158
-10.697859,-8.143319
-10.584107,-7.887334
-10.061883,-7.348540
-9.613356,-6.889646
-10.353127,-7.050663
-10.881167,-7.412668
-10.730217,-8.116980
-10.556160,-7.726660
-10.485516,-7.088696
-10.832338,-7.623969
-10.100700,-7.656889
-9.904915,-7.943743
-10.286385,-8.516480
-10.438198,-8.626904
-9.905036,-8.374381
-10.349537,-8.490740
-10.147064,-8.700736
-10.104973,-9.381896
-10.052786,-9.483085
