x_mm,y_mm
-10.429358,-10.429358
-10.265636,-10.443290
-10.101914,-10.457222
-9.938192,-10.471153
-9.780105,-10.507186
-9.624704,-10.554563
-9.461293,-10.571763
-9.297487,-10.583172
-9.133210,-10.585515
-8.968896,-10.585362
-8.804598,-10.583489
-8.640368,-10.578459
-8.476167,-10.572368
-8.311983,-10.565855
-8.147864,-10.557875
-7.983761,-10.549549
-7.819661,-10.541166
-7.655598,-10.532095
-7.491539,-10.522937
-7.327484,-10.513721
-7.163433,-10.504435
-6.999385,-10.495089
-6.835338,-10.485734
-6.671282,-10.476517
-6.507224,-10.467356
-6.343164,-10.458225
-6.179089,-10.449365
-6.015004,-10.440704
-5.850918,-10.432048
-5.686808,-10.423875
-5.522682,-10.416014
-5.358558,-10.408112
-5.194401,-10.400956
-5.030227,-10.394184
-4.866052,-10.387417
-4.701856,-10.381213
-4.537644,-10.375408
-4.373433,-10.369615
-4.209208,-10.364205
-4.044968,-10.359253
-3.880729,-10.354310
-3.716482,-10.349614
-3.552222,-10.345405
-3.387963,-10.341184
-3.223697,-10.337199
-3.059421,-10.333669
-2.895145,-10.330142
-2.730864,-10.326860
-2.566577,-10.323922
-2.402288,-10.321056
-2.237996,-10.318398
-2.073698,-10.316062
-1.909400,-10.313815
-1.745099,-10.311705
-1.580795,-10.309986
-1.416489,-10.308333
-1.252183,-10.306714
-1.087873,-10.305618
-0.923563,-10.304529
-0.759252,-10.303500
-0.594939,-10.302888
-0.430626,-10.302348
-0.266313,-10.301901
-0.101999,-10.301761
0.062315,-10.301761
0.226629,-10.301850
0.390942,-10.302218
0.555255,-10.302758
0.719568,-10.303349
0.883879,-10.304265
1.048189,-10.305355
1.212500,-10.306444
1.376807,-10.307940
1.541112,-10.309587
1.705418,-10.311238
1.869719,-10.313278
2.034018,-10.315520
2.198316,-10.317783
2.362610,-10.320364
2.526899,-10.323231
2.691187,-10.326128
2.855470,-10.329289
3.019746,-10.332818
3.184022,-10.336346
3.348292,-10.340163
3.512551,-10.344386
3.676811,-10.348598
3.841062,-10.353146
4.005302,-10.358054
4.169542,-10.363010
4.333770,-10.368302
4.497985,-10.374009
4.662197,-10.379789
4.826399,-10.385851
4.990576,-10.392554
5.154751,-10.399300
5.318920,-10.406201
5.483044,-10.414112
5.647169,-10.421982
5.811288,-10.429964
5.975375,-10.438607
6.139460,-10.447279
6.303540,-10.456044
6.467602,-10.465135
6.631660,-10.474309
6.795716,-10.483500
6.959765,-10.492821
7.123813,-10.502181
7.287863,-10.511480
7.451917,-10.520713
7.615975,-10.529884
7.780036,-10.538999
7.944128,-10.547529
8.108230,-10.555869
8.272335,-10.564161
8.436510,-10.570892
8.600711,-10.576992
8.764921,-10.582780
8.929212,-10.585325
9.093526,-10.585478
9.257821,-10.584393
9.421824,-10.575891
9.585240,-10.558736
9.743779,-10.523165
9.898650,-10.474518
10.062372,-10.460586
10.226095,-10.446655
10.389817,-10.432723
10.481559,-10.316188
10.550382,-10.166981
10.619205,-10.017775
10.688028,-9.868569
10.710262,-9.707193
10.673722,-9.548051
10.629327,-9.389848
10.581989,-9.232504
10.532307,-9.075882
10.481005,-8.919783
10.429729,-8.763675
10.378927,-8.607411
10.326750,-8.451603
10.276528,-8.295153
10.237048,-8.135690
10.197774,-7.976139
10.157824,-7.816755
10.132832,-7.654373
10.107883,-7.491964
10.083346,-7.329511
10.067053,-7.166009
10.052734,-7.002320
10.039236,-6.838571
10.029833,-6.674532
10.022809,-6.510369
10.016320,-6.346185
10.012049,-6.181933
10.009557,-6.017638
10.007151,-5.853342
10.005631,-5.689036
10.004738,-5.524725
10.003845,-5.360413
10.003168,-5.196101
10.002611,-5.031788
10.002064,-4.867475
10.001647,-4.703162
10.001323,-4.538848
10.001008,-4.374534
10.000760,-4.210221
10.000593,-4.045907
10.000429,-3.881593
10.000294,-3.717279
10.000218,-3.552965
10.000141,-3.388651
10.000082,-3.224338
10.000055,-3.060024
10.000029,-2.895710
10.000012,-2.731396
10.000007,-2.567082
10.000005,-2.402768
10.000003,-2.238454
10.000003,-2.074140
10.000003,-1.909826
10.000003,-1.745512
10.000003,-1.581198
10.000003,-1.416885
10.000003,-1.252571
10.000003,-1.088257
10.000003,-0.923943
10.000003,-0.759629
10.000003,-0.595315
10.000003,-0.431001
10.000003,-0.266687
10.000003,-0.102373
10.000003,0.061941
10.000003,0.226255
10.000003,0.390568
10.000003,0.554882
10.000003,0.719196
10.000003,0.883510
10.000003,1.047824
10.000003,1.212138
10.000003,1.376452
10.000003,1.540766
10.000003,1.705080
10.000003,1.869394
10.000003,2.033708
10.000003,2.198022
10.000004,2.362335
10.000006,2.526649
10.000010,2.690963
10.000022,2.855277
10.000048,3.019591
10.000074,3.183905
10.000121,3.348219
10.000197,3.512533
10.000272,3.676847
10.000388,3.841161
10.000548,4.005474
10.000714,4.169788
10.000940,4.334102
10.001238,4.498416
10.001553,4.662729
10.001935,4.827043
10.002466,4.991356
10.003011,5.155669
10.003611,5.319981
10.004503,5.484293
10.005394,5.648604
10.006558,5.812913
10.008905,5.977210
10.011381,6.141506
10.014885,6.305776
10.020977,6.469975
10.027982,6.634140
10.036552,6.798222
10.049001,6.962051
10.063314,7.125740
10.079006,7.289299
10.101359,7.452033
10.126351,7.614435
10.150973,7.776894
10.187515,7.936961
10.226913,8.096482
10.265462,8.256209
10.313640,8.413241
10.365591,8.569123
10.416592,8.725320
10.467788,8.881455
10.519227,9.037509
10.569388,9.193979
10.617404,9.351118
10.662423,9.509140
10.705916,9.667593
10.700057,9.830731
10.635661,9.981091
10.566821,10.130289
10.497981,10.279487
10.429141,10.428686
10.265610,10.442815
10.101881,10.456662
9.938151,10.470508
9.780072,10.506525
9.624683,10.553940
9.461277,10.571188
9.297474,10.582633
9.133197,10.584991
8.968884,10.584848
8.804586,10.582981
8.640356,10.577949
8.476155,10.571853
8.311971,10.565334
8.147852,10.557345
7.983750,10.549009
7.819651,10.540616
7.655588,10.531528
7.491531,10.522352
7.327476,10.513119
7.163426,10.503813
6.999380,10.494445
6.835334,10.485067
6.671279,10.475830
6.507222,10.466649
6.343163,10.457498
6.179090,10.448620
6.015005,10.439942
5.850920,10.431270
5.686810,10.423094
5.522684,10.415239
5.358560,10.407345
5.194402,10.400195
5.030228,10.393430
4.866053,10.386670
4.701856,10.380471
4.537645,10.374668
4.373433,10.368878
4.209208,10.363470
4.044969,10.358520
3.880729,10.353579
3.716483,10.348884
3.552223,10.344676
3.387963,10.340457
3.223698,10.336474
3.059421,10.332949
2.895145,10.329426
2.730864,10.326147
2.566577,10.323208
2.402288,10.320341
2.237995,10.317683
2.073698,10.315348
1.909400,10.313105
1.745099,10.310996
1.580794,10.309274
1.416489,10.307617
1.252183,10.305994
1.087873,10.304895
0.923562,10.303802
0.759252,10.302771
0.594939,10.302157
0.430626,10.301615
0.266313,10.301166
0.101999,10.301026
-0.062315,10.301026
-0.226629,10.301116
-0.390942,10.301484
-0.555255,10.302026
-0.719568,10.302619
-0.883879,10.303538
-1.048189,10.304631
-1.212500,10.305723
-1.376807,10.307223
-1.541112,10.308874
-1.705418,10.310529
-1.869719,10.312568
-2.034018,10.314807
-2.198316,10.317068
-2.362610,10.319649
-2.526899,10.322517
-2.691187,10.325416
-2.855470,10.328575
-3.019746,10.332099
-3.184022,10.335621
-3.348292,10.339436
-3.512551,10.343658
-3.676811,10.347868
-3.841062,10.352414
-4.005303,10.357321
-4.169542,10.362275
-4.333771,10.367565
-4.497985,10.373270
-4.662198,10.379047
-4.826400,10.385106
-4.990577,10.391802
-5.154753,10.398540
-5.318922,10.405435
-5.483045,10.413339
-5.647171,10.421203
-5.811291,10.429182
-5.975376,10.437840
-6.139460,10.446530
-6.303539,10.455313
-6.467601,10.464423
-6.631657,10.473617
-6.795712,10.482829
-6.959761,10.492171
-7.123806,10.501553
-7.287856,10.510873
-7.451909,10.520124
-7.615966,10.529312
-7.780026,10.538445
-7.944117,10.546986
-8.108219,10.555337
-8.272323,10.563639
-8.436498,10.570376
-8.600699,10.576481
-8.764908,10.582274
-8.929199,10.584814
-9.093513,10.584956
-9.257808,10.583858
-9.421810,10.575328
-9.585221,10.558125
-9.743751,10.522514
-9.898608,10.473852
-10.062338,10.460006
-10.226067,10.446159
-10.389797,10.432313
-10.481355,10.315521
-10.550195,10.166323
-10.619035,10.017124
-10.687875,9.867926
-10.709859,9.706488
-10.673057,9.547373
-10.628635,9.389178
-10.581255,9.231846
-10.531531,9.075238
-10.480188,8.919152
-10.428894,8.763050
-10.378095,8.606785
-10.325915,8.450978
-10.275718,8.294520
-10.236342,8.135029
-10.197128,7.975464
-10.157242,7.816064
-10.132361,7.653662
-10.107457,7.491246
-10.083005,7.328781
-10.066759,7.165274
-10.052474,7.001582
-10.039029,6.837829
-10.029670,6.673788
-10.022672,6.509623
-10.016214,6.345438
-10.011979,6.181185
-10.009504,6.016890
-10.007115,5.852594
-10.005609,5.688288
-10.004718,5.523977
-10.003827,5.359665
-10.003153,5.195353
-10.002597,5.031040
-10.002052,4.866727
-10.001636,4.702413
-10.001314,4.538100
-10.001000,4.373786
-10.000754,4.209472
-10.000588,4.045159
-10.000424,3.880845
-10.000291,3.716531
-10.000215,3.552217
-10.000139,3.387903
-10.000080,3.223589
-10.000054,3.059275
-10.000029,2.894961
-10.000012,2.730647
-10.000007,2.566334
-10.000004,2.402020
-10.000003,2.237706
-10.000003,2.073392
-10.000003,1.909078
-10.000003,1.744764
-10.000003,1.580450
-10.000003,1.416136
-10.000003,1.251822
-10.000003,1.087508
-10.000003,0.923194
-10.000003,0.758881
-10.000003,0.594567
-10.000003,0.430253
-10.000003,0.265939
-10.000003,0.101625
-10.000003,-0.062689
-10.000003,-0.227003
-10.000003,-0.391317
-10.000003,-0.555631
-10.000003,-0.719945
-10.000003,-0.884259
-10.000003,-1.048572
-10.000003,-1.212886
-10.000003,-1.377200
-10.000003,-1.541514
-10.000003,-1.705828
-10.000003,-1.870142
-10.000003,-2.034456
-10.000003,-2.198770
-10.000004,-2.363084
-10.000006,-2.527398
-10.000010,-2.691712
-10.000023,-2.856025
-10.000049,-3.020339
-10.000075,-3.184653
-10.000123,-3.348967
-10.000199,-3.513281
-10.000276,-3.677595
-10.000393,-3.841909
