x_mm,y_mm
-10.291176,-10.291176
-10.130495,-10.307070
-9.969813,-10.322963
-9.809975,-10.345823
-9.653615,-10.386053
-9.492587,-10.397934
-9.331405,-10.407487
-9.169957,-10.409885
-9.008491,-10.409777
-8.847028,-10.408970
-8.685588,-10.406092
-8.524177,-10.401905
-8.362770,-10.397536
-8.201386,-10.392404
-8.040022,-10.386684
-7.878659,-10.380928
-7.717307,-10.374863
-7.555964,-10.368574
-7.394623,-10.362248
-7.233283,-10.355875
-7.071945,-10.349460
-6.910608,-10.343005
-6.749269,-10.336618
-6.587927,-10.330311
-6.426585,-10.323985
-6.265240,-10.317756
-6.103885,-10.311784
-5.942530,-10.305808
-5.781173,-10.299872
-5.619798,-10.294472
-5.458423,-10.289049
-5.297047,-10.283681
-5.135651,-10.278962
-4.974252,-10.274316
-4.812851,-10.269748
-4.651439,-10.265590
-4.490022,-10.261609
-4.328604,-10.257694
-4.167180,-10.254061
-4.005750,-10.250647
-3.844320,-10.247270
-3.682885,-10.244133
-3.521445,-10.241230
-3.360006,-10.238325
-3.198562,-10.235666
-3.037115,-10.233233
-2.875668,-10.230806
-2.714217,-10.228590
-2.552764,-10.226577
-2.391311,-10.224606
-2.229855,-10.222792
-2.068398,-10.221194
-1.906939,-10.219647
-1.745480,-10.218197
-1.584019,-10.217014
-1.422557,-10.215876
-1.261096,-10.214761
-1.099632,-10.213987
-0.938168,-10.213237
-0.776704,-10.212507
-0.615239,-10.212071
-0.453774,-10.211697
-0.292309,-10.211361
-0.130843,-10.211237
0.030622,-10.211233
0.192088,-10.211269
0.353553,-10.211472
0.515018,-10.211838
0.676484,-10.212230
0.837948,-10.212781
0.999412,-10.213522
1.160876,-10.214272
1.322339,-10.215191
1.483801,-10.216308
1.645262,-10.217443
1.806722,-10.218743
1.968181,-10.220235
2.129639,-10.221778
2.291096,-10.223457
2.452551,-10.225357
2.614004,-10.227324
2.775457,-10.229379
2.936905,-10.231731
3.098353,-10.234153
3.259800,-10.236584
3.421240,-10.239430
3.582680,-10.242331
3.744119,-10.245232
3.905551,-10.248532
4.066981,-10.251943
4.228410,-10.255386
4.389831,-10.259146
4.551248,-10.263120
4.712664,-10.267142
4.874072,-10.271444
5.035471,-10.276079
5.196869,-10.280744
5.358259,-10.285697
5.519633,-10.291106
5.681008,-10.296518
5.842376,-10.302138
6.003732,-10.308077
6.165088,-10.314039
6.326439,-10.320121
6.487783,-10.326390
6.649125,-10.332696
6.810466,-10.339034
6.971804,-10.345459
7.133141,-10.351897
7.294480,-10.358298
7.455820,-10.364652
7.617162,-10.370965
7.778506,-10.377240
7.939865,-10.383112
8.101228,-10.388860
8.262593,-10.394568
8.423990,-10.399266
8.585400,-10.403496
8.746814,-10.407568
8.908266,-10.409582
9.069731,-10.409819
9.231196,-10.409416
9.392589,-10.404741
9.553649,-10.393446
9.713839,-10.373334
9.870490,-10.334541
10.030866,-10.316924
10.191547,-10.301031
10.324865,-10.215222
10.390333,-10.067624
10.454397,-9.919528
10.492729,-9.763270
10.481940,-9.602278
10.451066,-9.443792
10.418585,-9.285628
10.384161,-9.127875
10.348393,-8.970421
10.312180,-8.813069
10.276170,-8.655670
10.239791,-8.498356
10.204165,-8.340877
10.173760,-8.182302
10.146534,-8.023149
10.119279,-7.864009
10.098221,-7.703927
10.081044,-7.543377
10.063923,-7.382825
10.050779,-7.221898
10.040497,-7.060760
10.030739,-6.899590
10.023193,-6.738303
10.017963,-6.576922
10.013181,-6.415527
10.009384,-6.254107
10.007487,-6.092653
10.005779,-5.931196
10.004249,-5.769738
10.003634,-5.608273
10.003022,-5.446809
10.002441,-5.285345
10.002043,-5.123879
10.001668,-4.962414
10.001319,-4.800949
10.001062,-4.639484
10.000846,-4.478018
10.000645,-4.316553
10.000493,-4.155087
10.000379,-3.993622
10.000270,-3.832156
10.000191,-3.670691
10.000138,-3.509225
10.000087,-3.347760
10.000053,-3.186294
10.000035,-3.024828
10.000017,-2.863363
10.000008,-2.701897
10.000005,-2.540432
10.000003,-2.378966
10.000002,-2.217500
10.000002,-2.056035
10.000002,-1.894569
10.000002,-1.733104
10.000002,-1.571638
10.000002,-1.410173
10.000002,-1.248707
10.000002,-1.087241
10.000002,-0.925776
10.000002,-0.764310
10.000002,-0.602845
10.000002,-0.441379
10.000002,-0.279913
10.000002,-0.118448
10.000002,0.043018
10.000002,0.204483
10.000002,0.365949
10.000002,0.527414
10.000002,0.688880
10.000002,0.850346
10.000002,1.011811
10.000002,1.173277
10.000002,1.334742
10.000002,1.496208
10.000002,1.657673
10.000002,1.819139
10.000002,1.980605
10.000002,2.142070
10.000002,2.303536
10.000004,2.465001
10.000005,2.626467
10.000010,2.787933
10.000026,2.949398
10.000044,3.110864
10.000062,3.272329
10.000112,3.433795
10.000164,3.595260
10.000219,3.756726
10.000322,3.918192
10.000436,4.079657
10.000558,4.241123
10.000739,4.402588
10.000955,4.564054
10.001184,4.725519
10.001483,4.886984
10.001859,5.048449
10.002245,5.209915
10.002723,5.371379
10.003336,5.532844
10.003957,5.694308
10.005012,5.855770
10.006656,6.017228
10.008376,6.178684
10.011234,6.340124
10.015628,6.501530
10.020463,6.662923
10.026750,6.824266
10.035741,6.985481
10.045608,7.146645
10.056659,7.307731
10.072730,7.468394
10.089999,7.628934
10.107091,7.789490
10.133334,7.948809
10.160805,8.107920
10.187711,8.267127
10.222159,8.424875
10.258956,8.582092
10.294844,8.739519
10.331000,8.896884
10.367313,9.054213
10.402542,9.211789
10.436126,9.369723
10.467438,9.528123
10.497783,9.686710
10.487510,9.847833
10.422028,9.995425
10.356545,10.143016
10.291064,10.290608
10.130452,10.306720
9.969763,10.322539
9.809919,10.345357
9.653566,10.385613
9.492540,10.397527
9.331360,10.407106
9.169912,10.409516
9.008447,10.409416
8.846983,10.408615
8.685543,10.405735
8.524132,10.401545
8.362726,10.397172
8.201342,10.392034
8.039978,10.386307
7.878615,10.380544
7.717264,10.374469
7.555921,10.368169
7.394580,10.361830
7.233241,10.355445
7.071903,10.349015
6.910568,10.342544
6.749229,10.336142
6.587887,10.329821
6.426546,10.323482
6.265201,10.317239
