x_mm,y_mm
-10.291176,-10.291176
-10.130498,-10.307070
-9.969819,-10.322962
-9.809983,-10.345822
-9.653613,-10.386053
-9.492588,-10.397934
-9.331408,-10.407486
-9.169963,-10.409885
-9.008501,-10.409777
-8.847040,-10.408971
-8.685603,-10.406093
-8.524195,-10.401906
-8.362792,-10.397537
-8.201411,-10.392405
-8.040049,-10.386685
-7.878689,-10.380929
-7.717341,-10.374864
-7.556001,-10.368575
-7.394662,-10.362249
-7.233325,-10.355877
-7.071990,-10.349462
-6.910657,-10.343007
-6.749320,-10.336620
-6.587981,-10.330313
-6.426642,-10.323987
-6.265300,-10.317758
-6.103948,-10.311787
-5.942596,-10.305810
-5.781243,-10.299875
-5.619870,-10.294474
-5.458499,-10.289051
-5.297125,-10.283683
-5.135732,-10.278964
-4.974336,-10.274319
-4.812938,-10.269751
-4.651529,-10.265592
-4.490116,-10.261611
-4.328700,-10.257697
-4.167279,-10.254063
-4.005852,-10.250649
-3.844425,-10.247272
-3.682993,-10.244135
-3.521556,-10.241232
-3.360120,-10.238327
-3.198679,-10.235668
-3.037235,-10.233235
-2.875791,-10.230808
-2.714343,-10.228592
-2.552893,-10.226579
-2.391443,-10.224607
-2.229990,-10.222793
-2.068536,-10.221195
-1.907080,-10.219648
-1.745624,-10.218198
-1.584166,-10.217015
-1.422708,-10.215877
-1.261249,-10.214762
-1.099788,-10.213988
-0.938327,-10.213238
-0.776866,-10.212508
-0.615404,-10.212071
-0.453942,-10.211697
-0.292480,-10.211361
-0.131017,-10.211237
0.030445,-10.211233
0.191908,-10.211269
0.353370,-10.211472
0.514833,-10.211837
0.676295,-10.212230
0.837756,-10.212780
0.999217,-10.213521
1.160678,-10.214271
1.322138,-10.215190
1.483597,-10.216306
1.645055,-10.217442
1.806513,-10.218741
1.967968,-10.220233
2.129424,-10.221776
2.290877,-10.223454
2.452329,-10.225354
2.613779,-10.227321
2.775229,-10.229376
2.936674,-10.231728
3.098119,-10.234149
3.259563,-10.236580
3.421001,-10.239426
3.582437,-10.242326
3.743874,-10.245227
3.905303,-10.248527
4.066729,-10.251937
4.228155,-10.255380
4.389574,-10.259140
4.550988,-10.263113
4.712400,-10.267135
4.873805,-10.271437
5.035201,-10.276071
5.196597,-10.280736
5.357983,-10.285688
5.519355,-10.291097
5.680727,-10.296508
5.842092,-10.302128
6.003445,-10.308066
6.164798,-10.314028
6.326146,-10.320110
6.487487,-10.326378
6.648826,-10.332685
6.810164,-10.339022
6.971499,-10.345447
7.132833,-10.351885
7.294169,-10.358285
7.455506,-10.364639
7.616845,-10.370952
7.778186,-10.377228
7.939542,-10.383101
8.100902,-10.388848
8.262264,-10.394556
8.423658,-10.399257
8.585065,-10.403487
8.746476,-10.407559
8.907926,-10.409578
9.069388,-10.409818
9.230851,-10.409417
9.392246,-10.404751
9.553313,-10.393470
9.713520,-10.373374
9.870255,-10.334599
10.030747,-10.316937
10.191425,-10.301043
10.325998,-10.212668
10.391441,-10.065063
10.455086,-9.916717
10.492497,-9.759811
10.481256,-9.598768
10.450347,-9.440292
10.417824,-9.282139
10.383370,-9.124395
10.347593,-8.966947
10.311386,-8.809596
10.275368,-8.652202
10.239006,-8.494887
10.203494,-8.337380
10.173160,-8.178793
10.145933,-8.019643
10.118814,-7.860476
10.097842,-7.700383
10.080666,-7.539836
10.063633,-7.379276
10.050552,-7.218344
10.040282,-7.057209
10.030573,-6.896039
10.023078,-6.734751
10.017858,-6.573372
10.013098,-6.411980
10.009343,-6.250561
10.007450,-6.089110
10.005746,-5.927656
10.004236,-5.766201
10.003621,-5.604739
10.003010,-5.443278
10.002432,-5.281816
10.002035,-5.120354
10.001660,-4.958892
10.001313,-4.797430
10.001057,-4.635968
10.000841,-4.474505
10.000641,-4.313043
10.000491,-4.151580
10.000376,-3.990118
10.000269,-3.828655
10.000190,-3.667192
10.000137,-3.505730
10.000086,-3.344267
10.000053,-3.182805
10.000035,-3.021342
10.000017,-2.859880
10.000008,-2.698417
10.000005,-2.536954
10.000003,-2.375492
10.000002,-2.214029
10.000002,-2.052567
10.000002,-1.891104
10.000002,-1.729641
10.000002,-1.568179
10.000002,-1.406716
10.000002,-1.245254
10.000002,-1.083791
9.999406,-0.922380
10.000103,-0.762021
10.011134,-0.600937
