x_mm,y_mm
-10.291176,-10.291176
-10.072692,-10.312787
-9.854815,-10.339410
-9.640849,-10.386995
-9.421826,-10.402128
-9.202449,-10.409402
-8.982904,-10.409649
-8.763369,-10.407479
-8.543879,-10.402416
-8.324415,-10.396316
-8.104988,-10.388987
-7.885577,-10.381175
-7.666184,-10.372870
-7.446802,-10.364294
-7.227423,-10.355642
-7.008047,-10.346903
-6.788671,-10.338178
-6.569290,-10.329580
-6.349907,-10.321025
-6.130512,-10.312770
-5.911113,-10.304652
-5.691701,-10.296878
-5.472275,-10.289514
-5.252841,-10.282388
-5.033384,-10.276018
-4.813923,-10.269779
-4.594444,-10.264184
-4.374960,-10.258818
-4.155467,-10.253813
-3.935966,-10.249187
-3.716461,-10.244785
-3.496948,-10.240789
-3.277431,-10.236965
-3.057908,-10.233546
-2.838383,-10.230294
-2.618852,-10.227401
-2.399319,-10.224704
-2.179782,-10.222296
-1.960243,-10.220158
-1.740702,-10.218162
-1.521158,-10.216571
-1.301614,-10.215041
-1.082067,-10.213906
-0.862520,-10.212895
-0.642972,-10.212146
-0.423422,-10.211634
-0.203873,-10.211293
0.015677,-10.211233
0.235226,-10.211323
0.454776,-10.211701
0.674325,-10.212225
0.893873,-10.213037
1.113420,-10.214051
1.332967,-10.215264
1.552511,-10.216791
1.772055,-10.218464
1.991595,-10.220459
2.211134,-10.222625
2.430670,-10.225099
2.650203,-10.227784
2.869733,-10.230752
3.089258,-10.234016
3.308781,-10.237447
3.528296,-10.241354
3.747810,-10.245307
3.967313,-10.249837
4.186813,-10.254499
4.406305,-10.259551
4.625788,-10.264977
4.845263,-10.270676
5.064724,-10.276925
5.284177,-10.283423
5.503611,-10.290569
5.723035,-10.297982
5.942445,-10.305821
6.161845,-10.313919
6.381237,-10.322250
6.600620,-10.330800
6.820001,-10.339414
7.039376,-10.348156
7.258752,-10.356880
7.478132,-10.365525
7.697515,-10.374090
7.916911,-10.382277
8.136322,-10.390101
8.355753,-10.397280
8.575222,-10.403229
8.794713,-10.408165
9.014254,-10.409738
9.233802,-10.409341
9.453136,-10.400495
9.671514,-10.378648
9.885907,-10.332847
10.104226,-10.309668
10.302377,-10.229696
10.402776,-10.038859
10.475727,-9.832574
10.482820,-9.615411
10.442029,-9.399788
10.396624,-9.184989
10.348475,-8.970786
10.299310,-8.756812
10.250081,-8.542853
10.201826,-8.328679
10.161871,-8.112805
10.124827,-7.896403
10.095538,-7.678847
10.072210,-7.460541
10.052413,-7.241901
10.038200,-7.022815
10.026248,-6.803596
10.018199,-6.584198
10.011987,-6.364737
10.008105,-6.145226
10.005727,-5.925689
10.004007,-5.706147
10.003173,-5.486598
10.002396,-5.267050
10.001865,-5.047501
10.001377,-4.827952
10.001020,-4.608402
10.000735,-4.388853
10.000506,-4.169303
10.000349,-3.949754
10.000220,-3.730204
10.000139,-3.510654
10.000075,-3.291104
10.000040,-3.071555
10.000017,-2.852005
10.000007,-2.632455
10.000003,-2.412906
10.000002,-2.193356
10.000002,-1.973806
10.000002,-1.754256
10.000002,-1.534707
10.000002,-1.315157
10.000002,-1.095607
10.049575,-0.929576
10.268482,-0.946359
10.487390,-0.963142
10.706297,-0.979925
10.925204,-0.996708
11.144112,-1.013491
11.363019,-1.030273
11.581926,-1.047056
11.800834,-1.063839
12.019741,-1.080622
12.238648,-1.097405
12.457556,-1.114188
12.676463,-1.130970
